TP12,150.42,65.08,0.00,TPTP20R,TP20R
TP13,20.37,89.38,0.00,TPTP20R,TP20R
TP14,76.89,99.86,0.00,TPTP20R,TP20R
TP15,90.04,99.86,0.00,TPTP20R,TP20R
TP16,83.69,99.86,0.00,TPTP20R,TP20R
TP17,20.34,85.76,0.00,TPTP20R,TP20R
TP2,12.33,76.16,0.00,TPTP20R,TP20R
TP3,7.25,76.16,0.00,TPTP20R,TP20R
TP4,2.17,76.16,0.00,TPTP20R,TP20R
TP5,22.79,66.06,0.00,TPTP20R,TP20R
TP6,17.71,66.06,0.00,TPTP20R,TP20R
TP7,12.63,66.06,0.00,TPTP20R,TP20R
TP8,7.55,66.06,0.00,TPTP20R,TP20R
TP9,2.47,66.06,0.00,TPTP20R,TP20R
U1,38.39,54.76,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,54.50,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.07,54.30,270.00,DS3231SN#,SOIC127P1032X265-16N
